MANDT,VBELN,POSNR,ARKTX,NETWR,WAERK,ERDAT,ERZET,ERZAT,KUNNR_ANA
100,53,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-06-20,16:53:57,19:53:57,17100001
100,54,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-06-20,16:59:04,20:59:04,17100001
100,55,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-06-23,09:50:05,12:50:05,17100001
100,56,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-23,10:02:07,14:02:07,17100001
100,57,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-06-23,10:04:38,13:04:38,17100001
100,58,10,Laptop MTO- Production-10-Dlfy,90000,GBP,2025-06-24,11:30:47,14:30:47,17100001
100,59,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-06-24,11:35:44,15:35:44,17100001
100,60,10,Laptop MTO- Production-10-Dlfy,90000,GBP,2025-06-25,10:40:57,14:40:57,17100001
100,61,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-06-25,10:48:46,13:48:46,17100001
100,62,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-06-30,15:24:20,18:24:20,17100001
100,63,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-30,15:38:59,19:38:59,17100001
100,64,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-06-30,17:25:57,19:25:57,17100001
100,65,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-06-30,17:36:00,21:36:00,17100001
100,66,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-07-01,15:19:07,17:19:07,17100001
100,67,10,Laptop MTO- Production-10-Dlfy,60000,GBP,2025-07-01,15:28:21,17:28:21,17100001
100,68,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-07-02,11:55:32,15:55:32,17100001
100,69,10,Laptop MTO- Production-10-Dlfy,100000,GBP,2025-07-02,12:03:52,16:03:52,17100001
100,70,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-07-02,12:14:02,15:14:02,17100001
100,71,10,Laptop MTO- Production-10-Dlfy,60000,GBP,2025-07-02,13:53:04,15:53:04,17100001
100,72,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-07-03,14:00:56,16:00:56,17100001
100,73,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-07-03,19:21:21,22:21:21,17100001
100,74,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-07-03,19:28:16,21:28:16,17100001
100,75,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-03,19:33:43,23:33:43,17100001
100,76,10,Laptop MTO- Production-10-Dlfy,60000,GBP,2025-07-04,12:44:16,15:44:16,17100001
100,77,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-07-04,12:49:45,16:49:45,17100001
100,78,10,Laptop MTO- Production-10-Dlfy,100000,GBP,2025-07-04,14:40:37,16:40:37,17100001
100,79,10,Laptop MTO- Production-10-Dlfy,90000,GBP,2025-07-04,15:13:48,17:13:48,17100001
100,80,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-07-07,11:28:49,15:28:49,17100001
100,81,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-07,11:34:22,14:34:22,17100001
100,82,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-07-08,16:06:21,20:06:21,17100001
100,83,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-08,16:10:44,20:10:44,17100001
100,84,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-09,13:33:10,16:33:10,17100001
100,85,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-09,13:37:38,17:37:38,17100001
100,86,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-10,12:05:54,16:05:54,17100001
100,87,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-10,12:12:26,15:12:26,17100001
100,88,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-11,12:09:48,14:09:48,17100001
100,89,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-11,12:20:27,14:20:27,17100001
100,90,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-15,16:47:24,19:47:24,17100001
100,91,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-15,16:52:46,19:52:46,17100001
100,92,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-16,12:20:57,15:20:57,17100001
100,93,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-16,12:26:09,15:26:09,17100001
100,94,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-17,12:58:02,16:58:02,17100001
100,95,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-17,13:05:46,15:05:46,17100001
100,96,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-18,13:20:00,17:20:00,17100001
100,97,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-18,13:25:47,15:25:47,17100001
100,98,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-07-21,16:17:04,19:17:04,17100001
100,99,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-21,16:26:03,20:26:03,17100001
100,100,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-24,15:51:54,19:51:54,17100001
100,101,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-24,16:41:28,19:41:28,17100001
100,102,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-07-25,15:36:18,17:36:18,17100001
100,103,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-25,15:41:02,17:41:02,17100001
100,104,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-07-31,13:41:48,15:41:48,17100001
100,105,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-01,14:02:17,17:02:17,17100001
100,106,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-08-08,13:27:14,16:27:14,17100001
100,107,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-13,14:03:39,17:03:39,17100001
100,108,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-08-13,18:41:28,22:41:28,17100001
100,109,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-08-14,09:41:00,12:41:00,17100001
100,110,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-18,12:15:45,16:15:45,17100001
100,111,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-08-18,12:23:47,16:23:47,17100001
100,112,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-08-18,12:29:24,16:29:24,17100001
100,113,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-25,11:03:17,13:03:17,17100001
100,114,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-08-25,11:10:32,13:10:32,17100001
100,115,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-26,13:33:57,16:33:57,17100001
100,116,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-08-26,13:39:49,15:39:49,17100001
100,117,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-27,09:56:00,13:56:00,17100001
100,118,10,Laptop MTO- Production-10-Dlfy,80000,GBP,2025-08-27,10:09:03,14:09:03,17100001
100,119,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-08-28,13:56:17,15:56:17,17100001
100,120,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-08-28,14:00:05,17:00:05,17100001
100,121,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-02,08:08:46,10:08:46,17100001
100,122,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-02,08:21:37,10:21:37,17100001
100,123,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-02,13:58:09,15:58:09,17100001
100,124,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-02,14:03:10,16:03:10,17100001
100,125,10,Laptop MTO- Production-10-Dlfy,90000,GBP,2025-09-03,13:33:18,15:33:18,17100001
100,126,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-09-03,13:37:44,16:37:44,17100001
100,127,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-09,12:32:57,14:32:57,17100001
100,128,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-09-09,12:39:49,15:39:49,17100001
100,129,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-09,12:45:23,16:45:23,17100001
100,130,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-10,10:11:47,12:11:47,17100001
100,131,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-10,10:16:37,14:16:37,17100001
100,132,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-10,10:23:28,14:23:28,17100001
100,133,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-09-10,11:19:06,13:19:06,17100001
100,134,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-11,12:24:18,15:24:18,17100001
100,135,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-11,12:36:28,16:36:28,17100001
100,136,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-09-11,12:42:57,15:42:57,17100001
100,137,10,Laptop MTO- Production-10-Dlfy,60000,GBP,2025-09-11,12:48:39,16:48:39,17100001
100,138,10,Laptop MTO- Production-10-Dlfy,70000,GBP,2025-09-11,12:49:21,14:49:21,17100001
100,139,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-11,12:49:57,15:49:57,17100001
100,140,10,Laptop MTO- Production-10-Dlfy,60000,GBP,2025-09-11,12:50:38,15:50:38,17100001
100,141,10,Laptop MTO- Production-10-Dlfy,100000,GBP,2025-09-11,12:51:21,15:51:21,17100001
100,142,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-09-12,09:17:21,12:17:21,17100001
100,143,10,Laptop MTO- Production-10-Dlfy,2000,GBP,2025-09-16,13:29:30,16:29:30,17100001
100,144,10,Laptop MTO- Production-10-Dlfy,1000,GBP,2025-09-16,14:22:43,16:22:43,4100000020
100,145,10,Laptop MTO- Production-10-Dlfy,1200,GBP,2025-09-16,14:33:59,18:33:59,4100000021
100,146,10,Laptop MTO- Production-10-Dlfy,500,GBP,2025-09-16,14:40:53,16:40:53,4100000022
100,147,10,Laptop MTO- Production-10-Dlfy,900,GBP,2025-09-16,14:43:02,17:43:02,4100000023
100,148,10,Laptop MTO- Production-10-Dlfy,600,GBP,2025-09-16,14:45:16,17:45:16,4100000024
100,149,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-17,05:18:37,08:18:37,17100001
100,150,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-22,10:40:02,12:40:02,17100001
100,151,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-22,10:45:25,14:45:25,17100001
100,152,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-09-22,10:49:14,13:49:14,17100001
100,153,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-22,10:53:16,13:53:16,17100001
100,154,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-22,14:41:37,17:41:37,17100001
100,155,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-22,14:47:20,17:47:20,17100001
100,156,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-22,14:54:52,17:54:52,17100001
100,157,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-24,16:03:21,19:03:21,17100001
100,158,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-24,16:08:02,18:08:02,17100001
100,159,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-09-24,16:11:31,20:11:31,17100001
100,160,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-25,13:09:21,17:09:21,17100001
100,161,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-25,13:13:46,16:13:46,17100001
100,162,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-26,08:23:22,11:23:22,17100001
100,163,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-26,08:26:57,10:26:57,17100001
100,164,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-09-29,10:22:53,14:22:53,17100001
100,165,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-09-29,10:29:42,13:29:42,17100001
100,166,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-09-29,13:48:34,16:48:34,17100001
100,167,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-09-29,14:10:36,16:10:36,17100001
100,168,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-09-29,14:14:24,16:14:24,17100001
100,169,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-09-30,09:58:18,11:58:18,17100001
100,170,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-09-30,10:12:39,13:12:39,17100001
100,171,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-01,09:42:59,13:42:59,17100001
100,172,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-01,09:47:37,13:47:37,17100001
100,173,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-03,10:18:15,13:18:15,17100001
100,174,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-03,10:22:32,13:22:32,17100001
100,175,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-07,12:02:06,15:02:06,17100001
100,176,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-07,12:08:18,16:08:18,17100001
100,177,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-08,15:39:04,17:39:04,17100001
100,178,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-08,15:47:52,18:47:52,17100001
100,179,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-08,15:58:18,19:58:18,17100001
100,180,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-09,12:31:49,14:31:49,17100001
100,181,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-09,12:40:10,14:40:10,17100001
100,182,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-10,11:28:48,14:28:48,17100001
100,183,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-10,11:34:22,15:34:22,17100001
100,184,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-13,06:45:59,09:45:59,17100001
100,185,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-10-13,06:49:41,10:49:41,17100001
100,186,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-13,10:26:05,14:26:05,17100001
100,187,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-13,10:29:50,12:29:50,17100001
100,188,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-22,13:15:08,17:15:08,17100001
100,189,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-22,13:18:23,16:18:23,17100001
100,190,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-22,14:48:29,16:48:29,17100001
100,191,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-22,14:53:19,18:53:19,17100001
100,192,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-29,09:31:41,13:31:41,17100001
100,193,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-29,09:36:08,12:36:08,17100001
100,194,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-10-29,09:41:10,13:41:10,17100001
100,195,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-10-29,09:50:48,12:50:48,17100001
100,196,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-10-29,10:06:14,12:06:14,17100001
100,197,10,Laptop MTO- Production-10-Dlfy,100000,GBP,2025-10-29,13:20:33,16:20:33,17100001
100,198,10,Laptop MTO- Production-10-Dlfy,110000,GBP,2025-10-29,13:25:41,16:25:41,17100001
100,199,10,Laptop MTO- Production-10-Dlfy,150000,GBP,2025-10-29,13:30:52,15:30:52,17100001
100,200,10,Laptop MTO- Production-10-Dlfy,200000,GBP,2025-10-29,13:36:37,16:36:37,17100001
100,201,10,Laptop MTO- Production-10-Dlfy,50000,GBP,2025-10-31,09:40:40,11:40:40,17100001
100,202,10,Laptop MTO- Production-10-Dlfy,150000,GBP,2025-10-31,09:46:56,12:46:56,17100001
100,203,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-31,09:51:15,12:51:15,17100001
100,204,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-10-31,09:57:37,13:57:37,17100001
100,205,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-10-31,10:02:53,13:02:53,17100001
100,206,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-10-31,10:15:22,12:15:22,17100001
100,207,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-03,08:28:01,12:28:01,17100001
100,208,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-03,10:39:44,12:39:44,17100001
100,209,10,Laptop MTO- Production-10-Dlfy,40000,GBP,2025-11-03,12:58:58,16:58:58,17100001
100,210,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-03,13:04:36,15:04:36,17100001
100,211,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-03,13:08:37,15:08:37,17100001
100,212,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-04,13:28:43,15:28:43,17100001
100,213,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-04,13:33:24,15:33:24,17100001
100,214,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-05,15:20:18,17:20:18,17100001
100,215,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-05,15:25:42,17:25:42,17100001
100,216,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-05,15:28:48,17:28:48,17100001
100,217,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-05,15:32:11,17:32:11,17100001
100,218,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-06,08:55:22,12:55:22,17100001
100,219,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-06,09:00:17,13:00:17,17100001
100,220,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-06,09:04:12,13:04:12,17100001
100,221,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-07,10:08:21,14:08:21,17100001
100,222,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-07,10:15:45,12:15:45,17100001
100,223,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-07,11:49:09,15:49:09,17100001
100,224,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-10,07:24:12,11:24:12,17100001
100,225,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-10,07:28:05,10:28:05,17100001
100,226,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-11,09:05:54,13:05:54,17100001
100,227,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-11,09:11:24,12:11:24,17100001
100,228,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-12,08:45:35,11:45:35,17100001
100,229,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-12,08:56:39,10:56:39,17100001
100,230,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-13,09:29:31,13:29:31,17100001
100,231,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-13,09:35:12,11:35:12,17100001
100,232,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-13,09:40:35,12:40:35,17100001
100,233,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-17,09:10:20,13:10:20,17100001
100,234,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-17,09:19:31,13:19:31,17100001
100,235,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-17,09:35:54,13:35:54,17100001
100,236,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-18,10:34:22,13:34:22,17100001
100,237,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-18,10:42:26,12:42:26,17100001
100,238,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-19,08:44:56,12:44:56,17100001
100,239,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-19,08:49:53,10:49:53,17100001
100,240,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-21,11:45:48,13:45:48,17100001
100,241,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-21,12:08:16,15:08:16,17100001
100,242,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-24,09:03:07,11:03:07,17100001
100,243,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-24,09:17:27,11:17:27,17100001
100,244,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-25,09:03:05,12:03:05,17100001
100,245,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-25,09:07:23,12:07:23,17100001
100,246,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-25,10:28:25,13:28:25,17100001
100,247,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-25,10:46:27,13:46:27,17100001
100,248,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-26,10:02:04,12:02:04,17100001
100,249,10,Laptop MTO- Production-10-Dlfy,20000,GBP,2025-11-26,10:06:17,12:06:17,17100001
100,250,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-26,12:55:36,16:55:36,17100001
100,251,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-27,10:22:25,12:22:25,17100001
100,252,10,Laptop MTO- Production-10-Dlfy,30000,GBP,2025-11-27,10:36:49,12:36:49,17100001
100,253,10,Laptop MTO- Production-10-Dlfy,10000,GBP,2025-11-28,10:01:48,13:01:48,17100001
